,filepath,mbid
0,Sumitra Nitin at Arkay by Sumitra Nitin/Dorakuna/Dorakuna,6d4e58d1-e565-4987-b7a5-c63a4e9d3f90
1,Sumitra Nitin at Arkay by Sumitra Nitin/Ganamuda Panam/Ganamuda Panam,d99f623e-8004-4e1a-a31c-5f760a018498
2,Sumitra Nitin at Arkay by Sumitra Nitin/Chidambara Natarajam/Chidambara Natarajam,eaf6b71a-8baf-4df2-bf70-0586428c7faa
3,Sumitra Nitin at Arkay by Sumitra Nitin/Vandalum/Vandalum,e3fe24f3-292a-4a96-97fd-bfd1f681394c
4,Sumitra Nitin at Arkay by Sumitra Nitin/Thiruveragane Saveri Varnam/Thiruveragane Saveri Varnam,7cbd62c6-2304-459a-8d7a-98647abac6d2
5,Sumitra Nitin at Arkay by Sumitra Nitin/Rama Daya Judave/Rama Daya Judave,d32af4a7-c692-4ee2-b205-368c40d999ab
6,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Neene Ballideno/Neene Ballideno,8bd27a81-b630-4aad-88cf-699d54126e57
7,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Paragu Matada/Paragu Matada,17a6b782-72a3-49a1-a9df-20bbc30aa9a0
8,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Palisomma Muddu Sarade/Palisomma Muddu Sarade,e5ba4c0c-969d-49d5-9d9b-d77abf4c0a8e
9,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Ramakrishnaru Manege/Ramakrishnaru Manege,7606edc5-2003-440a-86be-03c23558a435
10,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Bandadella Barali/Bandadella Barali,f9f7d9e7-876f-4752-8758-903a3c1132f8
11,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Tamburi Mitidava/Tamburi Mitidava,e5224384-f679-45df-89b3-ea61bc25e146
12,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Sharanu Janakana/Sharanu Janakana,b4ede827-1d97-44a9-8523-794758c362e5
13,Ashwath Narayanan at Arkay by Ashwath Narayanan/Thillana Purnachandrika/Thillana Purnachandrika,ffe5da02-8a71-4933-b414-62ca298dc777
14,Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram,a724bc1d-0eaa-44d1-ae2a-401c6ae62865
15,Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada,455c858a-da98-4094-a41d-41d0154037f2
16,Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura,662dbd9a-6858-4899-9369-8079c6c22935
17,Ashwath Narayanan at Arkay by Ashwath Narayanan/Eranapai/Eranapai,ab8fff58-8359-4af8-bc2a-6d623d4ac48b
18,Ashwath Narayanan at Arkay by Ashwath Narayanan/Parama Purusham/Parama Purusham,1c8a56ec-8c0b-44a3-b046-fa7357faba3f
19,Ashwath Narayanan at Arkay by Ashwath Narayanan/Marubari/Marubari,e9185a7f-e7b2-46b8-a1e5-96a35c3c59b4
20,Ashwath Narayanan at Arkay by Ashwath Narayanan/Aparadhamula/Aparadhamula,fb6aae72-04e8-45dd-976f-911821203173
21,Ashwath Narayanan at Arkay by Ashwath Narayanan/Sadabalarupapi Shlokam/Sadabalarupapi Shlokam,373d0719-1251-40be-983d-5a12dec2d522
22,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Hiranmayeem Lakshmeem/Hiranmayeem Lakshmeem,3efab55b-9479-4c13-93f5-dcde27ed77d2
23,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Niraimadi Mugam Thiruppugazh/Niraimadi Mugam Thiruppugazh,9fa80176-b772-4bf3-a988-5424f4cb98cb
24,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Evvari Bodhana/Evvari Bodhana,c33c722a-d034-40b2-be2a-188f830ee976
25,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Sanchara Dhadhara/Sanchara Dhadhara,c58ef05a-7a00-4ad9-8d11-a88e1a2772a5
26,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Lokavana Chatura/Lokavana Chatura,561a053f-0f22-4415-bb79-5ec19574f2fc
27,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Idhuthaano Thillai Sthalam/Idhuthaano Thillai Sthalam,5578d1d1-838d-4b26-848a-2cd599163da8
28,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Amba Kamakshi/Amba Kamakshi,34edbdf2-4505-47af-b1cd-5d09aa97d49d
29,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Vitthala Salaho Swamy/Vitthala Salaho Swamy,3f916ef1-1598-4bb3-81f5-c30457c8a9f8
30,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Pavamana Suthudu Mangalam/Pavamana Suthudu Mangalam,bb9e886c-d9ce-480f-b0a3-64f869cc70a8
31,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Karuna Ela Gante/Karuna Ela Gante,14d27ddd-66f3-4687-b3c6-3cd5ebdf4b6f
32,Vignesh Ishwar at Nada Inbam by Vignesh Ishwar/Gopanandana/Gopanandana,cd31b16b-de0c-481f-b3ae-eedcf201a055
33,Live at Kamarajar Hall by Sanjay Subrahmanyan/Entara Nitana/Entara Nitana,e7776320-8766-4568-9b08-05369bf2ad64
34,Live at Kamarajar Hall by Sanjay Subrahmanyan/Teerthakarayinile/Teerthakarayinile,46b47787-9c78-4e7a-b608-66fdac079866
35,Live at Kamarajar Hall by Sanjay Subrahmanyan/Thillana Dhanashri/Thillana Dhanashri,501f50aa-891c-4ab5-9dca-1fac271a33ae
36,Live at Kamarajar Hall by Sanjay Subrahmanyan/Ozhukkam Uyirinum/Ozhukkam Uyirinum,8b7dddb1-0dec-434d-b461-153b8af03be9
37,Live at Kamarajar Hall by Sanjay Subrahmanyan/Undan Paada Pankayam/Undan Paada Pankayam,b8bf8bff-7570-4591-b819-e3182ea45515
38,Live at Kamarajar Hall by Sanjay Subrahmanyan/Raagam Thaanam Pallavi/Raagam Thaanam Pallavi,ca0ab807-3c90-4fde-8612-260729350a69
39,Live at Kamarajar Hall by Sanjay Subrahmanyan/Pavamana Suthudu/Pavamana Suthudu,2bb36f85-b493-4b9b-aeb0-5848a9163cce
40,Live at Kamarajar Hall by Sanjay Subrahmanyan/Kamakshi/Kamakshi,32806112-2104-4df2-972e-a527be20e82a
41,Live at Kamarajar Hall by Sanjay Subrahmanyan/Soundararajam/Soundararajam,84bc41f0-7301-4206-86c4-88f2aa59bc53
42,Live at Kamarajar Hall by Sanjay Subrahmanyan/Payum Oli Nee Yenakku/Payum Oli Nee Yenakku,1e6e54c5-1a73-4498-a296-0e6dd70ccc2f
43,Live at Kamarajar Hall by Sanjay Subrahmanyan/Shatre Vilagi Irum/Shatre Vilagi Irum,e5022fc3-f0ba-40a2-9706-2b8fdbe484b8
44,Live at Kamarajar Hall by Sanjay Subrahmanyan/Maname Ramanai Paada/Maname Ramanai Paada,cc475479-1358-41de-a76a-5f792b89a02d
45,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Muruga Muruga Muruga/Muruga Muruga Muruga,c0cc9472-e4d0-4234-9e46-16ecdde8d9ce
46,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Chenduril Nindradum Kanda/Chenduril Nindradum Kanda,fb7ac519-9471-45ea-94ad-a3e38dd53648
47,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Ninne Bhajana/Ninne Bhajana,e878a71a-8f1e-4fe0-8bdd-a64664328edd
48,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Nera Nammiti/Nera Nammiti,4fb42f4f-0204-4151-8f21-54ddc8e670b5
49,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Dinamani Vamsa/Dinamani Vamsa,51deb148-402e-4586-badb-4b70481183b3
50,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Chakkani Raja/Chakkani Raja,031fa4da-725c-4ff9-9b75-6f63286f2ff5
51,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Ardhanareeshwaram/Ardhanareeshwaram,977d357f-4810-41fc-b495-21405f3f729c
52,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Pavamana Suthudu Pattu/Pavamana Suthudu Pattu,f6e9369d-4656-4dd5-9fe1-d717ecd7b62f
53,V Shankarnarayanan at Arkay by V. Shankaranarayanan/Shloka/Shloka,281efaa7-64c2-4b38-8cf4-4c68f6abef65
54,Akkarai Sisters at Arkay by Akkarai Sisters/Apparama Bhakti/Apparama Bhakti,6c7f0f18-0ba6-471a-b641-0231ed4b7377
55,Akkarai Sisters at Arkay by Akkarai Sisters/Manadirkkugandhadu/Manadirkkugandhadu,9b5b7fe8-178c-4af3-bcb7-6964d4511752
56,Akkarai Sisters at Arkay by Akkarai Sisters/Koti Janmani/Koti Janmani,5fa0bcfd-c71e-4d6f-940e-0cef6fbc2a32
57,Akkarai Sisters at Arkay by Akkarai Sisters/Brova Barama/Brova Barama,23bafc67-85c7-4fe6-9565-be4fe5df3027
58,Akkarai Sisters at Arkay by Akkarai Sisters/Shankari Shankuru/Shankari Shankuru,56b13d8e-5237-4980-96e2-ffb5528b93db
59,Akkarai Sisters at Arkay by Akkarai Sisters/Karunimpa Idi/Karunimpa Idi,ac2a95e1-25fb-4aaf-bd6c-1c45581543cd
60,Akkarai Sisters at Arkay by Akkarai Sisters/Pavamana Suthudu Mangalam/Pavamana Suthudu Mangalam,25ecad2b-5e11-46d7-a538-7a1f43b24e34
61,Akkarai Sisters at Arkay by Akkarai Sisters/Geeta Nayakan/Geeta Nayakan,3956ef1f-2cb0-4e4b-becb-533a63d18017
62,Akkarai Sisters at Arkay by Akkarai Sisters/Siddhi Vinayakam/Siddhi Vinayakam,16a3263f-31dc-40da-839b-f5955b77c0b6
63,Akkarai Sisters at Arkay by Akkarai Sisters/Thillana Pahadi/Thillana Pahadi,50c2fea1-d267-4506-a155-73bbefd5da27
64,Dr S Sundar at Arkay by S Sundar/Enadhu Manam Kavalai/Enadhu Manam Kavalai,69dba0e8-8a49-4084-a58b-18101239df69
65,Dr S Sundar at Arkay by S Sundar/Purahara Nandana/Purahara Nandana,423ae7db-c62f-4b1d-b18c-e2eb0d1f800d
66,Dr S Sundar at Arkay by S Sundar/Nannu Brova Neeku/Nannu Brova Neeku,dfdde5cd-7950-41fe-8f1e-71bb528994ec
67,Dr S Sundar at Arkay by S Sundar/Nera Nammiti/Nera Nammiti,22bd5f33-500f-4479-a66a-290718f68498
68,Dr S Sundar at Arkay by S Sundar/Parvathi Ninnu Neranammiti/Parvathi Ninnu Neranammiti,e8fa4a7e-a782-4ef4-a1bb-d683ae2f4afe
69,Dr S Sundar at Arkay by S Sundar/Geetha Vaadya Natana/Geetha Vaadya Natana,cec6de46-c717-45b3-826f-58de5b935497
70,Dr S Sundar at Arkay by S Sundar/Sudhaamayee/Sudhaamayee,93ec659b-7676-4070-bea2-e2dc03ca6300
71,Dr S Sundar at Arkay by S Sundar/Shloka Namaste Sarvalokaanam/Shloka Namaste Sarvalokaanam,b65c3ab9-681d-4fc2-a4cc-62fa4be13585
72,Dr S Sundar at Arkay by S Sundar/Vanajaksha Ninne Nammiti/Vanajaksha Ninne Nammiti,01b346c5-2f9e-4087-b56b-893e5688b43a
73,Dr S Sundar at Arkay by S Sundar/Jaya Jaya Padmanabhanujese/Jaya Jaya Padmanabhanujese,d8d77082-e2f5-42bf-8598-771293a45782
74,Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam,b2a65965-149c-4d85-81dd-e05b7f54c8db
75,Dr S Sundar at Arkay by S Sundar/Kannanai Paadu Maname/Kannanai Paadu Maname,5aed17d9-6868-4420-803a-edc882c90be2
76,Dr S Sundar at Arkay by S Sundar/Paahi Maam Sri/Paahi Maam Sri,da8d9f8b-3686-45c0-a19a-4775fc5f86e4
77,Dr S Sundar at Arkay by S Sundar/Eppadi Manam Thunindhadho/Eppadi Manam Thunindhadho,033599e7-f096-4eff-b9e6-82b988150a79
78,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Munnu Ravana/Munnu Ravana,0bc86ae5-dcfc-42ec-916e-bd9a1288f31d
79,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Shlokham/Shlokham,4c0158a2-679e-4958-a079-f4b95283d049
80,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Pranamamyaham Sri Prananatham/Pranamamyaham Sri Prananatham,1c3cec4e-1c46-42a2-b83d-db8d6f39ed97
81,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Ni Ninaindhal Aagadhadhu/Ni Ninaindhal Aagadhadhu,196062b4-21b5-45b6-942c-b20aa560f8ce
82,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Chandrashekharam Sada Bhajeham/Chandrashekharam Sada Bhajeham,6e99cfc6-b123-4311-87d4-41c7e31c5009
83,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Sri Jalandara/Sri Jalandara,2e87ed14-4a88-48b9-8c07-9856a5bab19d
84,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Amba Nilambari/Amba Nilambari,c956d1f5-190f-484d-9693-99139b3cd032
85,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Ninnuvina Marigalada/Ninnuvina Marigalada,6feaf61d-1ac3-4f35-a73f-7f4ea6647056
86,Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Avani Sutha/Avani Sutha,5f957e5f-c393-4105-a505-4af7f8050cd3
87,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Rama Neepai/Rama Neepai,c7384926-2948-4edd-8c0b-9d0cda58e6d4
88,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Etulabrotuva/Etulabrotuva,a77ee2cb-7773-4401-bef0-f8fe20f6bb91
89,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Lokavana Chatura/Lokavana Chatura,ae157796-b8d5-4baf-ab2e-d200833bf110
90,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Enthavedukonthu Raghava/Enthavedukonthu Raghava,233382df-54b0-4eb4-8855-38a0e8f96f70
91,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Koluvamaregatha/Koluvamaregatha,6e1dca9a-c342-4911-943c-10995babe654
92,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Neevada Negana/Neevada Negana,ca0a3572-64ab-48be-93a9-b6d05cd86285
93,Kanakadurga Venkatesh at Arkay by Kanakadurga Venkatesh/Vara Leela Gana Lola/Vara Leela Gana Lola,880e82e7-11c7-403b-a947-ca4e89f1d3f0
94,Mahati at Arkay by Mahati/Chinnanchiru Kiliye/Chinnanchiru Kiliye,8b026b2c-f627-4689-b4c9-7e1c14c2ca02
95,Mahati at Arkay by Mahati/Gopi Gopala Bala/Gopi Gopala Bala,76352d49-dcfa-499d-a12d-95e9e4e5d22a
96,Mahati at Arkay by Mahati/Pavamana Suttudu Pattu/Pavamana Suttudu Pattu,7f9d29b2-f615-4032-ad2f-a6250b14a000
97,Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami,32a6b005-6be5-4212-88c9-db67ec330724
98,Mahati at Arkay by Mahati/Padavini/Padavini,d8d9779f-6e59-471c-992e-af522ca1daaa
99,Mahati at Arkay by Mahati/Vandu Ketpaar Illayo/Vandu Ketpaar Illayo,db598906-31ae-4e01-95eb-b90090abc2c1
100,Mahati at Arkay by Mahati/Ragam Tanam Pallavi/Ragam Tanam Pallavi,66a741cb-bdfb-41c7-8705-298e12d8e990
101,Mahati at Arkay by Mahati/Tillana/Tillana,1f363a3a-9765-46c5-b47f-3307536003d5
102,Mahati at Arkay by Mahati/Sharanagatha Vatsale/Sharanagatha Vatsale,cdfc4999-dcc0-4a7c-984f-0b3a4d1a482b
103,Mahati at Arkay by Mahati/Hiranmayeem/Hiranmayeem,5768cc4b-efce-4656-be0a-b9568f929a55
104,Sumitra Vasudev at Arkay by Sumithra Vasudev/Aaniraimekkani/Aaniraimekkani,d001e6bf-625c-47fc-beb9-2a1fa72a8cab
105,Sumitra Vasudev at Arkay by Sumithra Vasudev/Vanajaksha Ninne Kori/Vanajaksha Ninne Kori,3845625a-e186-44c3-b8f9-b47c1ca155bb
106,Sumitra Vasudev at Arkay by Sumithra Vasudev/Karuninchutakidi/Karuninchutakidi,d5f68142-1cdc-40ca-b2a0-95ec57904116
107,Sumitra Vasudev at Arkay by Sumithra Vasudev/Va Va Brindavana/Va Va Brindavana,d81fb8b2-3222-49f9-aeb1-b46f733692ad
108,Sumitra Vasudev at Arkay by Sumithra Vasudev/Mati Matiki/Mati Matiki,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea
109,Sumitra Vasudev at Arkay by Sumithra Vasudev/Sri Guru Na Palitosmi/Sri Guru Na Palitosmi,c3d84d0f-4876-4548-a513-c949b0757636
110,Sumitra Vasudev at Arkay by Sumithra Vasudev/Thoomani Madatthu/Thoomani Madatthu,8a74ca29-7991-4300-b41d-d44edcac7025
111,Sumitra Vasudev at Arkay by Sumithra Vasudev/Ramabhi Rama Manasu/Ramabhi Rama Manasu,7d3f6f84-a53e-4d4a-bddd-ba472d5a1ab9
112,Sumitra Vasudev at Arkay by Sumithra Vasudev/Mangalam Kosalendraya/Mangalam Kosalendraya,7116a2c8-1659-4203-93c1-ace0720c4033
113,Sumitra Vasudev at Arkay by Sumithra Vasudev/Sri Vidhya Rajagopala/Sri Vidhya Rajagopala,08cbf900-43af-404a-b40c-c64a99f43518
114,N J Nandini in Arkay by N J Nandini/Sogasuga/Sogasuga,a3e22d80-6904-481c-884d-aab8e0015186
115,N J Nandini in Arkay by N J Nandini/Dharini Telusukonti/Dharini Telusukonti,0bfae434-97db-4693-a704-e449f78b960b
116,N J Nandini in Arkay by N J Nandini/Merusamana/Merusamana,d66a59b9-83ad-43e8-ac9b-cb523c0d7f87
117,N J Nandini in Arkay by N J Nandini/Marugelara/Marugelara,c14f55ac-c536-4c04-96f0-8dfefa25e946
118,N J Nandini in Arkay by N J Nandini/Karuna Ela Gante/Karuna Ela Gante,39852cb4-a1e3-4d34-b0b9-025ac497a6c4
119,Live at Vani Mahal by Sanjay Subrahmanyan/Pavamaana Suthudu Pattu/Pavamaana Suthudu Pattu,59d56022-1617-443d-9e92-e21257958883
120,Live at Vani Mahal by Sanjay Subrahmanyan/Maname Kanamum/Maname Kanamum,e47ca591-9257-4a4b-97b9-67911395f70f
121,Live at Vani Mahal by Sanjay Subrahmanyan/Ennadu Jootuno/Ennadu Jootuno,9687ecc8-1526-4eb2-86d7-4d81dfce803b
122,Live at Vani Mahal by Sanjay Subrahmanyan/Paarengum/Paarengum,30ed13b0-58ac-48af-b8ac-f2c14ddbd71a
123,Live at Vani Mahal by Sanjay Subrahmanyan/Saravanabhava Enum/Saravanabhava Enum,492da8b2-c67b-451e-96e9-6956870a0049
124,Live at Vani Mahal by Sanjay Subrahmanyan/Karuvutranaal Mudalaaga/Karuvutranaal Mudalaaga,c872989e-4edd-4509-912b-f228198245f7
125,Live at Vani Mahal by Sanjay Subrahmanyan/Aru marundu/Aru marundu,1eb34c3e-fc59-460f-972b-7a47051863c4
