,filepath,mbid
126,Live at Vani Mahal by Sanjay Subrahmanyan/Eranapai/Eranapai,0d9bce97-35e0-4896-b6d1-bf2e89ac02fa
127,Live at Vani Mahal by Sanjay Subrahmanyan/Pullum Silambena Kan/Pullum Silambena Kan,9db9ebab-4238-4776-8531-6221547e2cb5
128,Live at Vani Mahal by Sanjay Subrahmanyan/Sri Raghuvara Sugunaalaya/Sri Raghuvara Sugunaalaya,7afd0d40-c385-4762-82e3-74e14491c615
129,Live at Vani Mahal by Sanjay Subrahmanyan/Ragam Thanam Pallavi - Shanmukhapriya/Ragam Thanam Pallavi - Shanmukhapriya,3fb546e4-a108-4b86-a368-02e3a5b9e96d
130,Live at Vani Mahal by Sanjay Subrahmanyan/Sarasadalanayana/Sarasadalanayana,53fa9f24-db5b-4419-b0db-79586b1c3f7d
131,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Rama Rama Guna Seema/Rama Rama Guna Seema,2badb85a-4f7c-4933-9910-ff01a3968d08
132,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Prathi Vaaram Vaaram/Prathi Vaaram Vaaram,7e1e3421-8735-4df8-8075-a6553f2588ed
133,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Varashiki Vahana/Varashiki Vahana,a05b885f-59af-4766-a82e-2fea4578cf08
134,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Idhu Thaano Thillai Sthalam/Idhu Thaano Thillai Sthalam,af4fec6b-6689-429e-8f65-b9ca958fb543
135,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Bhuvini Dasudane/Bhuvini Dasudane,9f5a5452-14cb-4af0-9289-4833854ee60d
136,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Karuna Nidhi Illalo/Karuna Nidhi Illalo,99ef06f0-38cf-456c-9541-a8a04edaae5f
137,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Tulasi Bilva/Tulasi Bilva,cc4199f2-ecf3-4d93-b628-65f2caacc6f8
138,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Shlokam - Shivah Shaktyayukto/Shlokam - Shivah Shaktyayukto,ac58786c-3938-4d93-9e9f-bbc3a56265fa
139,Cherthala Ranganatha Sharma at Arkay by Cherthala Ranganatha Sharma/Velum Mayilume/Velum Mayilume,26ff1e93-2c1b-47dc-b40a-7f64504232a0
140,Prema Rangarajan at Arkay by Prema Rangarajan/Tolinenu Jesina/Tolinenu Jesina,af5b132a-23a1-4e2a-a844-fa9492b7ee94
141,Prema Rangarajan at Arkay by Prema Rangarajan/Kailasapathe/Kailasapathe,8765ef72-19c8-4d44-a45f-e09632ab50e7
142,Prema Rangarajan at Arkay by Prema Rangarajan/Shri Kamakshi Shritajana/Shri Kamakshi Shritajana,3524cd49-4466-4838-a6aa-c5a5da1898e9
143,Prema Rangarajan at Arkay by Prema Rangarajan/Thillana Vasanta/Thillana Vasanta,54b8903f-a52f-4dfb-83a9-3962b0bce817
144,Prema Rangarajan at Arkay by Prema Rangarajan/Nera Nammiti/Nera Nammiti,c6d44148-fea7-48ef-93fc-c0fb79c61e55
145,Prema Rangarajan at Arkay by Prema Rangarajan/Lalitha Lavanga/Lalitha Lavanga,3675f69b-7cb7-4aa3-ba08-b298c4ac568f
146,Prema Rangarajan at Arkay by Prema Rangarajan/Thamarai Kangal/Thamarai Kangal,59874f5a-f8d5-4f08-a783-cecdf0d455aa
147,Prema Rangarajan at Arkay by Prema Rangarajan/Gam Ganapate/Gam Ganapate,55362c3e-2224-4555-9aa7-4790e5c8f22d
148,Prema Rangarajan at Arkay by Prema Rangarajan/Karunajaladhe/Karunajaladhe,e0b93ed9-807f-47a4-9e6a-f9d7309048a9
149,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Ghandhamu Poyyaruga/Ghandhamu Poyyaruga,1b8541ce-0fd5-4c26-97a3-1996db9effbe
150,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Koluvaiyunnade/Koluvaiyunnade,c07e9a51-9fb9-4d5d-bd88-ce12fb74a7aa
151,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Entha Muddo/Entha Muddo,7daea776-ee24-406f-add4-df8153ab9c0f
152,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Paramatmudu/Paramatmudu,ef6f7e45-479c-40c8-a1c8-3fe8dd97b474
153,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Giriraja Suta/Giriraja Suta,19b47281-571d-481e-8b9a-1dafd175cbd3
154,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Paraloka Bhaya/Paraloka Bhaya,228802ab-0055-47bf-bc3e-ecdb91fd889c
155,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Dudukugala/Dudukugala,3d65a06b-af6d-46d2-bd44-10cd5136c844
156,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Telisi Rama/Telisi Rama,bfff5d12-7577-4f1a-8bbb-1df0848ce6ac
157,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Eramuni/Eramuni,5d1b5366-0469-438e-8ca1-dbd808d0bf28
158,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Mangalam Avanisutanatha/Mangalam Avanisutanatha,bffde9df-d79d-4b9c-8276-08d5ca39daf7
159,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Edari Sancharintura/Edari Sancharintura,f6227d2f-4cb8-461b-bb59-19422629d345
160,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Rama Namam Bhajare/Rama Namam Bhajare,9962fa86-1060-4f9d-93d2-128ac958c2b8
161,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Shobillu Saptasvara/Shobillu Saptasvara,a8c9b0e3-3656-42da-9527-04dc19b65dc7
162,Modhumudi Sudhakar at Arkay by Modhumudi Sudhakar/Sundari Nee Divya/Sundari Nee Divya,8fed9a77-2f4c-4a26-b0f6-6919fd469e2b
163,Vidya Subramanian at Arkay by Vidya Subramanian/Vinakayunna Della/Vinakayunna Della,709c217c-3fb6-47f0-bc67-e53c13952d05
164,Vidya Subramanian at Arkay by Vidya Subramanian/Janakipathe/Janakipathe,02983b75-909c-4f32-89f6-d2f38e65550d
165,Vidya Subramanian at Arkay by Vidya Subramanian/Shri Guruguhasya/Shri Guruguhasya,38e7e8a0-5dde-4ca8-b38e-9064da8608e4
166,Vidya Subramanian at Arkay by Vidya Subramanian/Jootamu Rare/Jootamu Rare,f785ac79-1d61-43f8-aee0-69853f5eeae9
167,Vidya Subramanian at Arkay by Vidya Subramanian/Thanaithilam Kattrerumai/Thanaithilam Kattrerumai,e86e0953-645d-415b-ae52-6344256c047f
168,Vidya Subramanian at Arkay by Vidya Subramanian/Kanakangaka Guha/Kanakangaka Guha,f6327618-9040-4906-83a4-105da6b26209
169,Vidya Subramanian at Arkay by Vidya Subramanian/Shloka/Shloka,d555497d-d735-474f-aa49-181c8618b1d2
170,Vidya Subramanian at Arkay by Vidya Subramanian/Thillana Hameerkalyani/Thillana Hameerkalyani,39a24740-f610-49a7-b6a4-1308b106a1cd
171,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Vanajakshi - Varnam/Vanajakshi - Varnam,ae79b563-7d5e-4c31-b2f9-7cf7db1da1c1
172,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Teerthakarayinile/Teerthakarayinile,e821bfa1-852a-4547-b003-9293a1e57b85
173,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Innamum Oru thalam/Innamum Oru thalam,574c2aec-15da-4cd7-95db-b2eb339623ad
174,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Nadopasana/Nadopasana,fa539372-1c38-41a9-8790-91354ece9135
175,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Ganta mani aadudhu/Ganta mani aadudhu,e26cf70c-ce6c-47c2-b7bf-199f2cdd5a62
176,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Janani/Janani,21f72d0f-5167-4c89-b312-84574b65613b
177,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Oorilen Kaani Illai/Oorilen Kaani Illai,06e944ea-ef9d-4cfc-abc7-daf20fe2f872
178,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Ramakrishnaru Manaegae/Ramakrishnaru Manaegae,1e325d45-1615-45ec-b81a-47df85ca72aa
179,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Uppum karpuramum/Uppum karpuramum,825f48e3-8323-40d9-bc47-d29de805b8b1
180,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Chalamelara Saketha Rama/Chalamelara Saketha Rama,8aab81e8-a930-4e10-a685-06a607bb2891
181,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Kalilo Hari Smrana/Kalilo Hari Smrana,a91ca01b-3338-4968-815a-6ae61644ccb5
182,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Ninnaiye rathi/Ninnaiye rathi,d1c219f3-5aa0-481a-8ba2-ba3962b4f672
183,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Mangalam/Mangalam,f2237ae1-a29c-4ac6-9bea-b7e65ec8aaf7
184,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Deenarakshaka/Deenarakshaka,ba5d37a3-63f9-4ac0-85a4-c07d2a671058
185,Sanjay at Sastri Hall by Sanjay Subrahmanyan/O Rangashayee/O Rangashayee,1520c037-248b-46c8-8eab-65e31d3f3b08
186,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Sama geeta priyan/Sama geeta priyan,0f2006e9-ce85-47c2-a45b-de3586662d99
187,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Karupuram Naarumo/Karupuram Naarumo,5f270bdb-4df2-4cb2-8c1a-31675de3593f
188,Sanjay at Sastri Hall by Sanjay Subrahmanyan/Va vela va/Va vela va,01177df7-52d4-417f-b142-3761c209707a
189,Kuldeep Pai at Arkay by Kuldeep Pai/Gange Maam Pahi/Gange Maam Pahi,bac323dc-28a5-4ac9-8133-a3696c0f7442
190,Kuldeep Pai at Arkay by Kuldeep Pai/Arul Seya Vendum Ayya/Arul Seya Vendum Ayya,79d502f1-2fbb-4c5e-bf2c-8eb2a452730c
191,Kuldeep Pai at Arkay by Kuldeep Pai/Kaalaharanamelara/Kaalaharanamelara,08c1602c-0c20-41b2-afa5-a845635e92d1
192,Kuldeep Pai at Arkay by Kuldeep Pai/Vasudeva Sutam Devam/Vasudeva Sutam Devam,4c69f425-c6ad-46c8-81f2-e9c3a201ee1f
193,Kuldeep Pai at Arkay by Kuldeep Pai/Brochevarevarura/Brochevarevarura,7a9eb235-f59f-4ef4-9507-4b9561f63bbe
194,Kuldeep Pai at Arkay by Kuldeep Pai/Thappi Bratikipova/Thappi Bratikipova,d04c37a2-732d-4484-ad4f-a5aa76237940
195,Kuldeep Pai at Arkay by Kuldeep Pai/Krishna Nee Begane Baaro/Krishna Nee Begane Baaro,7dae71c1-c921-424d-88d2-0547d7a0b377
196,Kuldeep Pai at Arkay by Kuldeep Pai/Kari Kalabha Mukham/Kari Kalabha Mukham,9bac6a08-158e-42eb-8a9b-4ad5b90a6e1a
197,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Shloka Sri Ramachandra Shrita Parijata/Shloka Sri Ramachandra Shrita Parijata,c6756bca-6955-4bc8-909c-d431d1e44899
198,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Nera Nammiti/Nera Nammiti,d1b2c8f8-47e6-4eed-a8e3-a2fa55fd73d5
199,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Sri Kantimatim/Sri Kantimatim,77737e36-ba2c-4cb6-b7e6-00298a6af646
200,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Athirum Kazhal/Athirum Kazhal,bb8f1d9e-b84b-4ff2-a92e-f1a378bf67d4
201,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Siva Siva Siva Yenarada/Siva Siva Siva Yenarada,ef2720a5-457f-4eb9-b82a-6f1566c4e7e6
202,A V K Rajasimhan at Arkay by Angarai V K Rajasimhan/Kanukontini/Kanukontini,9e284c29-48e5-4d65-84d9-2e1997c5ac02
203,Manda Sudharani at Arkay by Manda Sudharani/Sami Dayajuda/Sami Dayajuda,68872a04-9f44-489c-806e-a1e8f6b659b5
204,Manda Sudharani at Arkay by Manda Sudharani/Giriraja Suta/Giriraja Suta,92919a49-6cde-4498-bea5-809587bae9b0
205,Manda Sudharani at Arkay by Manda Sudharani/Ananda Sagara/Ananda Sagara,253052e7-2f25-4f5b-8ae4-97b6f454d7d0
206,Manda Sudharani at Arkay by Manda Sudharani/Bayarani Bhalite/Bayarani Bhalite,38d65152-0830-47df-9eab-63f4acfb22c4
207,Manda Sudharani at Arkay by Manda Sudharani/Enta Bhagyamu/Enta Bhagyamu,1aca04c5-01ca-4c7d-8dda-c99c62b51db7
208,Manda Sudharani at Arkay by Manda Sudharani/Budham Aashrayami/Budham Aashrayami,d39c2a78-87ef-4adf-b755-d7b630ae35d8
209,Manda Sudharani at Arkay by Manda Sudharani/Parama Pavana Rama/Parama Pavana Rama,45478659-c807-4737-aa0d-a800617f533c
210,Manda Sudharani at Arkay by Manda Sudharani/Pavamana Suthudu Mangalam/Pavamana Suthudu Mangalam,1dbae483-34f9-4dac-92ba-ea82db32b64b
211,Manda Sudharani at Arkay by Manda Sudharani/Thillana Rageshri/Thillana Rageshri,f138903f-92ed-4ce2-ba25-2d5b616fa727
212,Manda Sudharani at Arkay by Manda Sudharani/RTP Andholika/RTP Andholika,4bbd5827-8a18-43f9-a332-b4978098f58b
213,Manda Sudharani at Arkay by Manda Sudharani/Sarasamukhi Sakala/Sarasamukhi Sakala,5d76bc05-99b0-4e2f-9907-af7e8b037e51
214,Srividya Janakiraman at Arkay by Srividya Janakiraman/Parvathi Ninu Ne Nera Nammithi/Parvathi Ninu Ne Nera Nammithi,dd2a2d35-350e-4913-8d47-446dac5030a2
215,Srividya Janakiraman at Arkay by Srividya Janakiraman/Nee Sari evvaramma/Nee Sari evvaramma,9c7784e0-b808-466e-bd43-582b8ab4f8fb
216,Srividya Janakiraman at Arkay by Srividya Janakiraman/Jaya Jaya Janaki Kantha/Jaya Jaya Janaki Kantha,e8027bb2-7550-4da5-afed-e40e353d497b
217,Srividya Janakiraman at Arkay by Srividya Janakiraman/Santhamu leka Sowkyamu ledu/Santhamu leka Sowkyamu ledu,c6e17b47-57cd-4095-bfab-4cb7f335357c
218,Srividya Janakiraman at Arkay by Srividya Janakiraman/Sarasuda Ninne Kori/Sarasuda Ninne Kori,36b431e2-5584-484a-a1a5-7470e23345bb
219,Srividya Janakiraman at Arkay by Srividya Janakiraman/Gnanamosaga Rada/Gnanamosaga Rada,34164309-59f7-46be-9de8-4a179629f5ef
220,Srividya Janakiraman at Arkay by Srividya Janakiraman/Nenindal Agaadadu undo/Nenindal Agaadadu undo,5c09b1ea-b2f7-48fd-a235-500ba836b135
221,Srividya Janakiraman at Arkay by Srividya Janakiraman/Sri Dundurge Siva Samsaare/Sri Dundurge Siva Samsaare,47099770-87c1-4810-a8d7-d2e51906fc10
222,Rithvik Raja at Arkay by Rithvik Raja/Madhava Mamava/Madhava Mamava,a0f50392-60df-4833-ae06-f7c81929fc8f
223,Rithvik Raja at Arkay by Rithvik Raja/Ramachandraya Mangalam/Ramachandraya Mangalam,3caa7147-315d-46f3-96da-b2df7f94a496
224,Rithvik Raja at Arkay by Rithvik Raja/Sapasyat Kausalya/Sapasyat Kausalya,e3c44bc6-3c57-4d23-b710-66cd73c36b85
225,Rithvik Raja at Arkay by Rithvik Raja/Seetapati Namanasuna/Seetapati Namanasuna,415e65d6-77eb-4e06-a98f-c413151939b6
226,Rithvik Raja at Arkay by Rithvik Raja/Karunimpa Idi/Karunimpa Idi,d859fa0a-300d-4e53-b6bd-2366e12397e6
227,Rithvik Raja at Arkay by Rithvik Raja/Endaro Mahanubhavulu/Endaro Mahanubhavulu,75c4ac9f-ce32-4449-94a1-965ace2d7df7
228,Rithvik Raja at Arkay by Rithvik Raja/Bhogeendra Shayinam/Bhogeendra Shayinam,a00a9e81-a90e-48b3-a3d3-336cf2b0951b
229,Rithvik Raja at Arkay by Rithvik Raja/Thillana Senchurutti/Thillana Senchurutti,ca4ee2d1-401b-45d9-aa0c-bd8912b7292b
230,Rithvik Raja at Arkay by Rithvik Raja/Chintayama Kanda/Chintayama Kanda,8ea50416-583b-4a7f-891c-dc21b1a3c2c9
231,Rithvik Raja at Arkay by Rithvik Raja/Emani Migula/Emani Migula,4e2ee259-5448-4843-b29c-fc74906376f6
232,Rithvik Raja at Arkay by Rithvik Raja/Saraguna Palimpa/Saraguna Palimpa,6c860efd-82e8-4df5-8c54-ec212edeb888
233,KP Nandini at Arkay by KP Nandini/Nadatanum Anisham/Nadatanum Anisham,d872ffdd-b4c4-40df-be2a-e257a34d56f0
234,KP Nandini at Arkay by KP Nandini/Seethamma/Seethamma,559b19c7-2d30-47db-8aab-6e4448d867fb
235,KP Nandini at Arkay by KP Nandini/Janakipathe Jaya Karunya Jaladhe/Janakipathe Jaya Karunya Jaladhe,d485028d-a42c-4a03-a5b9-c927b9eb8b85
236,KP Nandini at Arkay by KP Nandini/Eppadi Padinaro/Eppadi Padinaro,d6006696-b206-4c4f-a7e5-2b8c2a6025c6
237,KP Nandini at Arkay by KP Nandini/Manasaramathi/Manasaramathi,a8a56697-7282-40f6-bbc7-9aad2f78a662
238,KP Nandini at Arkay by KP Nandini/Tillana/Tillana,b9c17795-0dac-436e-b010-dfd8d0685e1d
239,KP Nandini at Arkay by KP Nandini/Bhavamulona/Bhavamulona,794426a5-7f0f-4629-a07a-d57b9282f86c
240,KP Nandini at Arkay by KP Nandini/Ardhanarishwaram/Ardhanarishwaram,8c2f3b3f-5250-4b73-b02d-bc7012ad5e12
241,Chaitra Sairam at Arkay by Chaitra Sairam/Shri Subramanyaya Namaste/Shri Subramanyaya Namaste,ba04f4c1-28cb-4e22-b6c8-cb949426ad0b
242,Chaitra Sairam at Arkay by Chaitra Sairam/Mamava Pattabhi Rama/Mamava Pattabhi Rama,1c474824-d8a9-43c8-8c2d-6b59e945e3a6
243,Chaitra Sairam at Arkay by Chaitra Sairam/Kamalamba Samrakshatu/Kamalamba Samrakshatu,a8ecff2f-f2ce-406f-a7a9-a5976b99521c
244,Chaitra Sairam at Arkay by Chaitra Sairam/Govardhana Girisham/Govardhana Girisham,93f38e28-f411-4b06-9494-91232649a635
245,Chaitra Sairam at Arkay by Chaitra Sairam/Ardhanareeshwaram/Ardhanareeshwaram,9ab5de50-9a19-46cc-93d7-867f0ebb0da4
246,Chaitra Sairam at Arkay by Chaitra Sairam/Anandaamrutakarshini/Anandaamrutakarshini,833331e9-7907-4e28-b60d-8c8186931dfd
247,Chaitra Sairam at Arkay by Chaitra Sairam/Rakta Ganapatim/Rakta Ganapatim,0a1c2ae7-e933-458d-afac-fa081338d5de
248,Chaitra Sairam at Arkay by Chaitra Sairam/Gange Maampahi/Gange Maampahi,b584e95d-ec72-4467-abb5-bd18e7a55ae7
